41 353
45 406
58 457
74 506
96 550
124 589
153 627
185 652
223 659
263 650
299 624
329 586
357 547
379 503
394 455
406 403
411 348
51 328
76 306
111 310
145 320
178 335
253 329
287 312
324 299
364 300
391 324
215 369
215 402
214 435
214 468
177 487
195 491
215 496
235 490
255 487
89 363
112 349
142 351
165 375
139 379
108 378
271 375
294 350
324 348
347 362
328 377
298 379
145 552
169 535
194 522
212 528
231 521
262 533
290 548
264 583
236 595
215 597
194 595
169 583
158 553
194 550
213 552
232 549
277 550
233 553
214 555
195 553
